Sample	total	multidrug	peptide	tetracycline	quinolone	aminocoumarin	MLS	beta_lactam	aminoglycoside	rifamycin	phosphonic acid	diaminopyrimidine	phenicol
S1099	0.580489569795233	0.422268994935166	0.646005247074314	0.704618494596666	0.624280636425186	0.760875551522358	0.380162069258057	0.713828891768312	0.917517407040722	0.694277869487586	0.224022574121296	0.428198000082984	0.587697825344415
S110	0.55342778698918	0.526876979030162	0.503072477684649	0.596368257217929	0.533302832817246	0.588223617761053	0.468562027066822	0.711197402245975	0.737461342706182	0.782646612988956	0.634955959391199	0.227245599329422	0.555264839602972
S1100	0.531413667267593	0.422525133925295	0.583730995328656	0.596486341817929	0.497772734352402	0.634462463214576	0.35857941724713	0.596476977827952	0.934944786310377	0.696391325107431	0.489199577046374	0.552511415525114	0.354425722904864
S1101	0.646786621351253	0.474110940807524	0.743369186608735	0.743120795510292	0.767538554873313	0.789235946990024	0.481073281280431	0.784294832357941	0.904436280649022	0.593199150641505	0.256843572787732	0.39428263214671	0.557204154469263
S1102	0.594862346686317	0.345561237452387	0.720842383885862	0.697653205577093	0.658698388004579	0.731404881510392	0.458322338039319	0.773492286115007	0.93717396796774	0.735833565863186	0.565508092332184	0.657539329177798	0.615458473355737
S1103	0.530402368922854	0.521841653352927	0.532624119269978	0.557196012794406	0.444401831770677	0.546633883821494	0.452256897650997	0.596138409456387	0.563702487970458	0.844348599940671	0.615717865327014	0.0705478956421061	0.538325516794087
S1105	0.675569885897488	0.506692105915579	0.727113239118041	0.831217489360154	0.718895117055248	0.820266736700275	0.527199986438149	0.79056707606874	0.895588096362777	0.654306825050266	0.643582736038777	0	0.632599146008048
S1106	0.626508434483034	0.448034419755997	0.693744704971689	0.67474929697034	0.665466523670906	0.620241132622943	0.680369633718461	0.609218436873747	0.885053167006031	0.756069292123629	0.728685478565459	1	0.549175970228602
S1107	0.581836833026011	0.382016529143722	0.654075761998475	0.688232927303502	0.646525370527063	0.706570606573011	0.664721087300926	0.741812801183739	0.902281513403891	0.715326676316887	0.395247087859694	0.378090114742374	0.750824122551871
S1108	0.613721787948764	0.461569286235009	0.661767056771908	0.726628247372562	0.671588101430429	0.758741417024762	0.434897717582973	0.771085215047469	0.848300889518253	0.682762127720893	0.516335550694227	0.25619963074759	0.575805435120996
S1109	0.467573945612899	0.355327478778744	0.512901449268435	0.537366094125298	0.539852771594225	0.584949474406336	0.381580190908232	0.73674949797555	0.644051412949901	0.626024688719072	0.194321581891505	0.347532266105356	0.614646826819649
S111	0.591545203763702	0.573420837782918	0.580938406555742	0.624574289267259	0.48391110997145	0.686012985004746	0.504680107548924	0.616850401340284	0.683703308677357	0.804388766738555	0.695951423081542	0.35968961556534	0.563267663651831
S1111	0.628192353021512	0.38217059426912	0.737646696596711	0.814154635277769	0.495418382527328	0.713325160667187	0.681278341610883	0.679001928640309	0.981489431968296	0.611113387698234	0.709990767872195	1	0
S1112	0.588182748866829	0.423680119341626	0.717501894043524	0.645784055090235	0.478056574385771	0.6974170553551	0.4453049062256	0.722157354276149	0.859344619121248	0.738660472555657	0.379821800422865	0.255196061091872	0.327992845666475
S1113	0.584670615162705	0.389831837823132	0.670716084330087	0.639802376657181	0.555239974304854	0.802894835563336	0.294128570102202	0.72253347427766	0.845825808910022	0.700576744523649	0.39615360040892	0.592160491041206	0.446815894499393
S1114	0.638506006494368	0.474312720826102	0.693183626033754	0.765761162822069	0.680589794395409	0.709483636446381	0.491647185297681	0.730030440093398	0.82885109016347	0.712070592935223	0.471108236308754	0.388305162174509	0.615666479715835
S1115	0.546579996436548	0.31840754438385	0.548280815021027	0.617773746679439	0.611981551474383	0.583712114406856	0.575143686336994	0.827045489830772	0.888113154855802	0.554711831192917	0.689635296583525	0	1
S1116	0.699831898703505	0.518331289367803	0.801112472213252	0.788019804658965	0.841561630900947	0.825912922793189	0.632714932490571	0.772439121632568	0.886085321785173	0.704152522380958	0.64705449821689	0.179861333333333	0.491437308868501
S1118	0.644449459360531	0.431103095811893	0.647631797705363	0.693326962151373	0.625933804823129	0.635897062296202	0.441804276838831	0.892196613186515	0.851756412700905	0.685951411752791	0.445456565207732	0.535036615134255	0.333150318684204
S1119	0.553335547377756	0.305179922927501	0.638481610669494	0.666852844491498	0.682373763170086	0.624753076307852	0.604278212300075	0.775498997048348	0.852543081926508	0.64536938940346	0.428501209177956	0.187794811320755	0.242806685044797
S112	0.670942278870007	0.489652292023435	0.779521132699815	0.776811848433796	0.764714160470119	0.746496088514719	0.481898891481024	0.78232415397658	0.887105179898094	0.68162838282403	0.24820881424655	0.309294689688582	0.395449401875202
S1120	0.679797485578651	0.500254921059295	0.781838249410721	0.782226487782197	0.780222157637304	0.765432749308392	0.4669016761502	0.77082209416212	0.882494536058292	0.707367659418885	0.614932130729673	0.276328686907262	0.708215673407997
S1122	0.643752207032235	0.470717096240658	0.739678582092933	0.758821675133748	0.709667615032164	0.701662830383364	0.501520421686489	0.739898611575285	0.866515989344395	0.720254157734718	0.366309322299542	0.564682248652785	0.451132904971255
